S#,Title,Location,Date,Area,Incident Area,Open/Close Location,Target,Cause,Summary,Shooter status,No. of shooter/suspect,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
262,Sparks Middle School,"Sparks, Nevada",10/21/13,School,Sparks Middle School in Nevada,Close,random,psycho,"On October 21, 2013, a 12-year old student at Sparks Middle School in Nevada, shot and injured two students and killed a teacher before killing himself. ",committed suicide,one,1,2,3,0,12,-999,-999,-999,Other,Male,39.54058388,-119.748291
263,Los Angeles International Airport (LAX),"Los Angeles, California",11/01/13,Airport,Los Angeles International Airport,Open,TSA Officer,anger,"On November 1, 2013, an unemployed 23-year old man entered Terminal 3 at Los Angeles International Airport (LAX) in California, and pulled a rifle from his bag, killing one TSA officer and wounding two other officers and a passenger before he was wounded and captured. Witnesses said that the shooter was calmly asking people: ""Hey, are you TSA?"". If they said no, the shooter moved on.",arrested,one,1,3,4,1,23,0,-999,No,"White, White American or European American",Male,34.17622092,-118.5399542
264,Seattle Pacific University,"Seattle, Washington",06/05/14,School,Seattle Pacific University,Close,Students,terrorism,"On June 5, 2014, a 26-year-old man entered a hall on the campus of Seattle Pacific University and began shooting at students. The shooter killed one student and injured two others before a student tackled and stopped the shooter as he was reloading.",-999,one,1,2,3,0,26,-999,-999,Yes,Other,Male,47.62199575,-122.323646
265,Bourbon Street New Orleans,"New Orleans, Louisiana",06/29/14,Public area,street,Open,random,anger,"On June 29, 2014, two men were having an argument on Bourbon Street, which escalated into a gunfight. Many shots were fired into the surrounding crowd, killing one and injuring nine.",-999,one,1,9,10,0,-999,-999,-999,No,Other,Male,30.0687242,-89.93147412
266,Albuquerque Auto Shop,"Albuquerque, New Mexico",08/08/14,Public area,Outside an auto shop,Open,Ex-Girlfriend,anger,"The shooter pulled up to an auto shop and saw his ex-girlfriend talking with her current boyfriend. He crashed his car into the car the couple was standing next to. This knocked the current boyfriend to the ground. The shooter then fired fatal shots at his ex-girlfriend, and shot and injured three other women who had entered the shop.",-999,one,1,3,4,0,-999,-999,-999,No,Other,Male,35.15290522,-106.7791378
267,Birmingham's Washington Park,"Birmingham, Alabama",02/27/15,Public area,street,Open,Friends,psycho,"On February 27, 2015, the online Facebook brawl between two groups of friends spilled out into the streets with a planned videotaped fight.  After the melee ensued, two teenage males pulled out guns and started shooting at the girls. The shots killed 14-year-old girl and wounded two others.",-999,two,1,2,3,0,-999,-999,-999,No,"Black, Black American or African American",Male,33.5282865,-86.79550448
268,Mesa,"Mesa, Arizona",03/18/15,Public area,-999,Open,random,argue,"On March 18, 2015, the shootings started with an argument inside a motel room that spilled outside, one man dead and two women wounded. The gunman then shot another man who was working at a nearby restaurant. The gunman got away from the restaurant by carjacking the school instructor's car. The man then went to an apartment complex about 2 miles away, and shot another man. Another man was found in a neighboring apartment building with multiple gunshot wounds.",-999,one,1,5,6,0,-999,-999,-999,No,"White, White American or European American",Male,33.42268696,-111.8163202
269,Little Water,"Shiprock, New Mexico",03/19/15,Home,-999,-999,Policeman,psycho,"On March 19, 2015, police officer was shot and killed after responding to a domestic violence situation. The shooter was holding his family hostage and allegedly pistol-whipped his wife and mother. The suspect led police on a 40-mile chase from New Mexico to Arizona before he was shot and killed.",killed,one,1,2,3,1,-999,-999,-999,-999,-999,Male,36.44329,-108.723281
270,Rome,"Rome, Georgia",04/07/15,Public area,street,Open,random,-999,"On April 7, 2015, the man entered 20 Copeland St. about 11:10 p.m. Tuesday and demanded cash from one of victim. The man then fired a handgun at the victim, killing him. Police said at least two men intended to rob people at the Copeland Street home.",committed suicide,one,1,3,4,0,-999,-999,-999,No,"Black, Black American or African American",Male,34.26779152,-85.18822422
271,Gates Pub,"Rochester, New York",04/25/15,"Bar, Club",Gates Pub,Close,random,terrorism,"On early Saturday morning of April 25, the man opened fire inside the Gates Pub. Seven people were shot, one of them was killed.",-999,one,1,6,7,0,-999,-999,-999,-999,"Black, Black American or African American",Male,43.15693027,-77.69300856
272,Annual motorcycle event in Newark,"Newark, New Jersey",05/10/15,Public area,opening of motorcycle season,Open,random,terrorism,"The shooting occurred during an annual event marking the opening of the motorcycle season. More than 2,000 people were in attendance when gunfire erupted at South 16th Street and 19th Avenue just before 8 p.m. Sunday. High school football star Al-Shakeem Woodson was shot and killed and three other people were wounded in the shooting.
The shooting was a result of a long-running feud between two other against the shooter and the 16-year-old.",-999,one,1,3,4,0,-999,-999,-999,-999,"Black, Black American or African American",Male,40.73169648,-74.18417699
273,Club Maxey's,"Decatur, Illinois",05/25/15,"Bar, Club",Club,Close,random,revenge,"On May 25, 2015, the shooter was attending a rap concert at a venue called Club Maxey Monday when he and the victim got into an altercation.  The four other people were wounded.",-999,one,1,4,5,0,-999,-999,-999,-999,"Black, Black American or African American",Male,39.85566372,-88.93346458
274,Northern Arizona University at Flagstaff Campus,"Flagstaff, Arizona",10/09/15,School,Northern Arizona University,Open,Students,anger,"On Friday of October 9, 2015, one person is dead and three are wounded after an early morning shooting on Northern Arizona University's campus. An overnight confrontation between two groups of students escalated into gunfire. The shooter is a freshman of Northern Arizona University.",-999,one,1,3,4,0,-999,-999,-999,-999,"White, White American or European American",Male,35.1725658,-111.6585435
275,"Waycross, GA","Waycross, Georgia",11/07/15,Home,-999,-999,Family,psycho,"On Saturday of November 7, 2015,a pregnant mother of two was killed in a violent rampage early Saturday along with her unborn child. Both of her toddlers were also shot. The shooter is the father of one of the small children.",-999,one,1,2,3,0,-999,-999,-999,Yes,"Black, Black American or African American",Male,31.21094544,-82.35793452
276,"Roadside in Memphis, Tennessee","Memphis, Tennessee",01/07/16,Public area,-999,Open,random,-999,A woman flagged down a car to help her with her car troubles at the side of the road. An 18-year-old got out to help. The two suspects got out of another car and fired on the scene.,got away,two,1,3,4,0,-999,-999,-999,-999,-999,-999,35.149534,-90.04898
277,"Wilmington, DE robbery","Wilmington, Delaware",01/11/16,Home,Home,Close,random,-999,"Two men forcefully entered a house, and started shooting the people inside. One of the robbers was killed. Four other people injured.",-999,two,1,4,5,0,-999,-999,-999,-999,"Black, Black American or African American",Male,39.739072,-75.539788
278,"Gloucester County, VA, House Party","Gloucester, Virginia",01/17/16,Home,Home,Close,party guests,-999,"A young woman threw a house party for her birthday. It got very crowded. The shooter came and shot four people, killing one. There is some disagreement about his relation to the rest of the people at the party",-999,one,1,3,4,0,-999,-999,-999,-999,"Black, Black American or African American",Male,37.40264,-76.458559
279,"Perris, CA Mexican restaurant shooting","Perris, California",01/25/16,Restaurant,restaurant,Close,random,-999,Very little is known about the case. Cops were called to a Mexican restaurant. 1 person was pronounced dead at the scene. 4 others were taken to a hospital.,got away,-999,1,4,5,0,-999,-999,-999,-999,-999,Male,33.782519,-117.228648
280,"Caroline County, VA Family Murder Suicide","Bowling Green, Virginia",01/29/16,Home,-999,-999,Family,psycho,"42-year-old husband murders wife, shoots two young family members, then shoots himself in the head.",committed suicide,one,1,2,3,0,42,-999,-999,-999,-999,Male,38.044556,-77.286488
281,"Los Angeles, CA street shooting","Los Angeles, California",02/06/16,Public area,-999,Open,random,assaulting,"Police were called to a street to investigate an assault case. One hispanic man lay dead on the street. Two other adult males, and a young female were injured.",got away,-999,1,3,4,0,-999,-999,-999,-999,-999,-999,34.052234,-118.243685
282,Nightclub fight turns into shootout,"Rochester, New York",02/07/16,"Bar, Club",nightclub,Close,random,anger,"Two groups of people fired at each other after a fight broke out outside of the Mexican Village Nightclub in Rochester, NY",got away,group,1,7,8,0,-999,-999,-999,-999,-999,-999,43.16103,-77.610922
283,Florida Hookah Bar Shooting,"Tampa, Florida",02/20/16,"Bar, Club",hookah bar parking,Open,random,anger,"Argument led to gun shots in the parking lot outside of a hookah bar in Tampa, Florida",got away,-999,1,3,4,0,-999,-999,-999,-999,-999,-999,27.950575,-82.457178
284,"Iuka, Mississippi","Iuka, Mississippi",02/20/16,Home,outside the house,Open,Policeman,domestic dispute,"Law enforcement officers in northeastern Mississippi stormed a house Saturday after an hours-long standoff with a gunman holed up inside, leading to a shootout that left one officer dead and three others wounded.The standoff started Friday afternoon when authorities responded to a domestic dispute call at the home near Iuka. But the man, holed up in his home with his wife and 10-year-old daughter, refused to come out, sparking the standoff with officers outside. The man suspected of firing on the officers was also killed.",killed,one,1,3,4,1,-999,-999,-999,-999,"White, White American or European American",Male,34.7404,-88.1383
285,Missouri Highway shooting,"Hazelwood, Missouri",02/21/16,Public area,interstate in Hazelwood,Open,random,-999,"Car was fired upon from a stolen Mercedes on the interstate in Hazelwood, MO. One woman died. 3 Injured.",got away,-999,1,3,4,0,-999,-999,-999,-999,"Black, Black American or African American",Male,38.77144,-90.370949
286,Riverside restaurant shooting,"Riverside, California",02/28/16,Restaurant,restaurant parking,Open,random,-999,Shooter fired upon group of people in a restaurant parking lot,-999,one,1,3,4,0,-999,-999,-999,-999,Other,Male,33.997197,-117.48548
287,"Chelsea, MA empty apartment party shooting","Chelsea, Massachusetts",03/06/16,Public area,apartment in Chelsea,Close,party guests,terrorism,"Shooter fired upon party of ~50 people at an empty apartment in Chelsea, MA. 1 dead. 6 wounded. Shooters step brother was among those shot",-999,group,1,6,7,0,-999,-999,-999,-999,Other,Male,42.391764,-71.032828
288,"Elberton, Georgia murder-suicide","Elberton, Georgia",03/12/16,Home,-999,Open,Family,domestic dispute,"Domestic dispute led a man to shoot his girlfriend, kill her daughter, and injure a bystander who was trying to help the girlfriend",-999,one,1,2,3,0,-999,-999,-999,-999,-999,Male,34.111223,-82.867084
289,"Plantation, Florida","Plantation, Florida",03/19/16,Home,Home,Close,party guests,-999,A Spring Break party in a house packed with 400 people ended in gunfire that killed one man and wounded four others.,got away,-999,1,4,5,0,-999,-999,-999,-999,-999,-999,26.127586,-80.233104
290,"Greenhill, AL Family murder-suicide","Huntsville, Alabama",03/25/16,Home,home in rural Alabama,Close,Family,domestic dispute,"Husband murders his wife and injures his two sons at their home in rural Alabama, then commits suicide",committed suicide,one,1,2,3,0,-999,-999,-999,Yes,"White, White American or European American",Male,34.759257,-86.602493
291,"Lawrenceburg, Tennessee","Lawrenceburg, Tennessee",03/25/16,Home,in home,Close,Family,domestic dispute,The man was suspected of shooting his wife and two sons on Friday morning at the family’s home. All three victims were initially shot inside the residence with a shotgun.,-999,one,1,2,3,0,-999,-999,-999,-999,-999,Male,35.242302,-87.334739
292,"Richmond, Virginia","Richmond, Virginia",03/31/16,Public area,bus station,Open,Trooper,frustration,"A man fatally shot a Virginia state trooper at a Greyhound bus station before the gunman was killed by other troopers. The trooper had been participating with about a dozen other troopers in a training exercise at the bus station when a brief encounter with the gunman quickly turned violent. The shooter had been sitting in the restaurant at the bus station and went to his luggage near the front entrance. He began to walk away from his bags. The trooper approached the suspect. Shortly after the two talked for a few seconds, with the suspect to the trooper’s immediate right, the shooter pulled a gun from his waistband and shot the trooper from just inches away.",killed,one,1,2,3,0,-999,-999,-999,-999,"Black, Black American or African American",Male,37.540725,-77.436048
293,Long Beach Street murder,"Long Beach, California",04/18/16,Public area,at street corner,Open,random,terrorism,"Group of men were standing at a street corner when someone came up and fired upon them. One man died, 3 injured. Nothing is known about the shooter.",got away,one,1,3,4,0,-999,-999,-999,-999,-999,-999,33.77005,-118.193739
294,Chicago Rap video Shootout,"Chicago, Illinois",04/19/16,Public area,in a park,Open,random,-999,Group of young men were in a park at 2 in the morning when a male walked up and shot them. One fatality. Four injuries. Shooter is unknown.,got away,one,1,4,5,0,-999,-999,-999,-999,-999,Male,41.878114,-87.629798
295,"Forestville, Maryland Drive-by","District Heights, Maryland",04/26/16,Public area,in street,Open,-999,-999,"Shooter shot from his car at people standing on the street at 1:30 AM. Police don't believe the woman who died was the target, and do not believe the shooting was random.",got away,one,1,4,5,0,-999,-999,-999,-999,-999,-999,38.845113,-76.874972
296,New Orleans Downtown Post Office,"New Orleans, Louisiana",12/14/88,Former Workplace,main post office in downtown New Orleans,Close,-999,-999,"On December 14, 1988, a 39-year-old post office employee entered the main post office in downtown New Orleans, Louisiana, where he worked with a shotgun. He took his ex-girlfriend as a hostage and was able to hold off police and FBI agents for 13 hours until he surrendered. He injured three co-workers and one FBI agent.",arrested,one,0,4,4,0,39,1,Post Office,-999,-999,Male,30.0687242,-89.93147412
297,Palo Duro High School,"Amarillo, Texas",09/11/92,School,"Amarillo, Texas",-999,Students,anger,"On September 11, 1992, a fight broke out in Amarillo, Texas between two students that ended with one student, a 17-year-old male, pulling a gun out and shooting. Six students were wounded before the shooter was taken into custody.",arrested,one,0,6,6,0,17,-999,-999,-999,-999,Male,35.18322484,-101.8805688
298,Weber State University,"Ogden, Utah",07/08/93,School,Weber State University,Close,random,frustration,"On July 8, 1993, a 28-year old student shot and injured three people at a grievance hearing at Weber State University in Odgen, Utah. One of the injured was a State police officer who was able to shoot back, killing the perpetrator.",killed,one,0,3,3,0,28,-999,-999,No,Asian or Asian American,Male,41.2281367,-111.9675317
299,Central Middle School,"Sheridan, Wyoming",09/17/93,School,Central Middle School,Close,random,frustration,"On September 17, 1993, a 29-year-old man recently discharged from the Navy approached a physical education class at Central Middle School in Sheridan, Wyoming and opened fire on its 29 students. He wounded four students before committing suicide in front of the class.",committed suicide,one,0,4,4,0,29,0,-999,No,"White, White American or European American",Male,44.79051074,-106.9599165
300,Riverside City Hall,"Riverside, California",10/06/98,City Hall,City Hall Building,Close,random,terrorism,"On October 6, 1998, a 48-year-old U.S. Postal Service employee entered a conference room at City Hall in Riverside, California and began shooting. He wounded the mayor, two council members and three police officers before being shot by police and taken into custody.",arrested,one,0,6,6,0,48,1,U.S. Postal Service,No,"Black, Black American or African American",Male,33.93814348,-117.3948409
301,Heritage High School,"Conyers, Georgia",05/20/99,School,Heritage High School,-999,Students,breakup,"On May 20. 1999, a 15-year-old student of Heritage High School in Conyers, Georgia arrived on campus and began shooting his fellow students as he was upset over a breakup with his girlfriend. He non-fatally wounded six students before being arrested.",arrested,one,0,6,6,0,15,-999,-999,No,"White, White American or European American",Male,33.66086267,-84.02688527
302,Fort Gibson Middle School,"Fort Gibson, Oklahoma",12/06/99,School,Fort Gibson Middle School,Close,Students,-999,"On December 6, 1999, a 13-year-old student at Fort Gibson Middle School in Fort Gibson, Oklahoma opened fire on his classmates for no apparent reason, wounding four before being stopped by a teacher and taken into custody.",arrested,one,0,4,4,0,13,-999,-999,No,"White, White American or European American",Male,35.77669911,-95.25996596
303,Duquesne University,"Pittsburgh, Pennsylvania",09/17/06,School,-999,-999,basketball players,frustration,"On September 17, 2006, two 18-year old men shot at five Duquesne University basketball players after a school dance. Several players said the shooter was a non-student unhappy that the woman he accompanied to the dance had talked with a player. The shooter and at least one other man followed the players when they left the dance to walk to their dormitory. Both man were later identified and arrested.",arrested,two,0,5,5,0,18,-999,-999,-999,"Black, Black American or African American",Male,40.43948548,-79.97631581
304,Springwater Trail High School,"Gresham, Oregon",04/10/07,School,Springwater Trail High School,Close,Students,terrorism,"On April 10, 2007, a 15-year-old student of Springwater Trail High School in Gresham, Oregon arrived to his school and began shooting at his classmates. He wounded ten and killed none before being arrested.",arrested,one,0,10,10,0,15,-999,-999,No,Other,Male,45.50216511,-122.4412759
305,SuccessTech Academy,"Cleveland, Ohio",10/11/07,School,SuccessTech Academy,Close,Students+Teachers,suspension,"On October 11, 2007, a 14-year-old student of SuccessTech Academy in Cleveland, Ohio arrived at school two days after he had been suspended for getting into a fist-fight with another student. He then began shooting at students and teachers, injuring four during the incident and committing suicide. ",committed suicide,one,0,4,4,0,14,-999,-999,Yes,"White, White American or European American",Male,41.47657557,-81.68051502
306,South Middle School Football Game,"Saginaw, Michigan",10/25/07,School,"South Middle School in Saginaw, Michigan",Open,Students,frustration,"On October 25, 2007, a 15-year-old student arrived at a football game at South Middle School in Saginaw, Michigan looking for his brother. He then ran into other students with which he had an ongoing confrontation and began shooting, wounding four before fleeing the scene. He was later arrested and charged with assault with intent to murder",arrested,one,0,4,4,0,15,-999,-999,No,"Black, Black American or African American",Male,43.41929117,-83.95032759
307,Mojave High School Bus,"Las Vegas, Nevada",12/11/07,School,School Bus Stop,Open,random,terrorism,"On December 11, 2007, an 18-year-old high school drop out of Mojave High School in Las Vegas, Nevada arrived at a school bus stop where he planned an encounter with a student who had bumped into him the day before. He then began shooting at the student and others, wounding six before fleeing the scene. The shooter was arrested in Denver, CO after the police received a tip that he was on a bus to Chicago.",arrested,one,0,6,6,0,18,-999,-999,No,"Black, Black American or African American",Male,36.18931923,-115.3264875
308,South Mountain Community College,"Phoenix, Arizona",07/24/08,School,South Mountain Community College,Close,random,anger,"On July 24, 2008, a 24-year-old man arrived at the South Mountain Community College in Phoenix, Arizona. He began shooting at two men who had hospitalized him seven months prior and a third was wounded in the incident before the shooter was arrested. No fatalities resulted from the shooting.",arrested,one,0,3,3,0,24,-999,-999,No,"Black, Black American or African American",Male,33.57145875,-112.0904854
309,The Spot Nightclub,"Miami, Florida",09/28/12,"Bar, Club",Club,Close,random,terrorism,"On September 28, shots were fired into a large crowd gathered at The Spot, an all-ages club at which many young teens were present. Fifteen people were injured.",got away,one,0,15,15,0,-999,-999,-999,-999,"Black, Black American or African American",Male,25.79653943,-80.20840397
310,San Francisco Tenderloin,"San Francisco, CA",03/23/14,"Bar, Club",Outside Club,Open,random,anger,"On the evening of March 23, 2014, the shooters were arguing with a crowd outside of a club, which prompted them to retrieve arms from their car for the attack. Eight people were wounded by the attack, and there were no fatalities. The shooters were later apprehended.",arrested,group,0,8,8,0,-999,-999,-999,No,"Black, Black American or African American",Male,37.75457839,-122.4424343
311,Kennesaw FedEx,"Kennesaw, Georgia",04/29/14,Current Workplace,Workplace,Close,Coworkers,terrorism,"On the morning of April 29, 2014, a 19 year-old package handler at the FedEx in Kennesaw, Georgia arrived at his place of work and began shooting. He wounded six of his coworkers before committing suicide.",committed suicide,one,0,6,6,0,19,1,FedEx,No,"White, White American or European American",Male,34.02529674,-84.61766831
312,Florida State University,"Tallahassee, Florida",11/19/14,School,Florida State University,Open,random,terrorism,"On November 19 just after midnight,  a graduate of Florida State University went to a library on campus which was full of people. He opened fire, injuring three people. Police arrived and told the shooter to drop the weapon, but he refused. Police then fired at the shooter, killing him.",killed,one,0,3,3,0,-999,-999,-999,Yes,"Black, Black American or African American",Male,30.4549394,-84.25264151
313,Memphis,"Memphis, Tennessee",01/01/15,Public Transportation,-999,Open,party guests,anger,"On Jan. 1, 2015, 25 people were on a party bus that was shot at by people in two vehicles that followed the bus. At least one of these men had been in a verbal argument with one of the bus' passengers at a club where the party bus had stopped just before the shooting.",-999,group,0,5,5,0,-999,-999,-999,No,"Black, Black American or African American",Male,35.10528976,-89.97734924
314,McAvan's Pub,"Syracuse, New York",02/01/15,"Bar, Club",Pub,Close,Ex-Girlfriend & Family,revenge,"Shortly after midnight on February 1, 2015, a man forced his ex-girlfriend at gunpoint to bring him to McAvan's Pub, where a birthday party with her relatives was taking place. The woman's brother attempted to separate her from her companion, at which point the man opened fire, injuring six people including his ex-girlfriend's brother.",-999,one,0,6,6,0,-999,-999,-999,No,"Black, Black American or African American",Male,43.04093416,-76.14376763
315,Monroeville Macy's,"Monroeville, Pennsylvania",02/07/15,Shop/store,Shopping Mall,Close,random,-999,"On the evening of Feb. 7, 2015, a teenager entered Macy's at the Monroeville Mall, approached a man and spoke briefly with him. Then he shot him and two bystanders. The shooter left the scene, but was arrested the next morning.",arrested,one,0,3,3,0,-999,-999,-999,No,"Black, Black American or African American",Male,40.4257455,-79.76092565
316,Panama City Beach,"Panama City Beach, Florida",03/28/15,Home,Home,Close,party guests,-999,"On March 28, 2015, seven people were wounded, several critically, in a shooting at a Spring Break house party early Saturday. The shooter was arrested after the shooting.",arrested,one,0,7,7,0,-999,-999,-999,No,"Black, Black American or African American",Male,30.22540212,-85.87371301
317,Daytona Beach,"Daytona Beach, Florida",04/03/15,Home,Home,Close,random,-999,"On April 3, 2015, four people were shot early Friday morning at a house party near Bethune-Cookman University in Daytona Beach. Four Bethune-Cookman University students were shot after the alleged gunman was kicked out of a house party about four blocks from the campus in Daytona Beach. The escaped suspect surrendered on April 6, 2015.",arrested,one,0,4,4,0,-999,-999,-999,No,"Black, Black American or African American",Male,29.19313443,-81.10173014
318,Indianapolis,"Indianapolis, Indiana",04/05/15,Home,Home,Close,random,-999,"On Sunday  evening of April 5, three suspects entered the apartment, fired multiple shots, and then fled the scene. Five people were injured, three of them were children. One of three suspects was arrested.",arrested,group,0,5,5,0,-999,-999,-999,No,-999,Male,39.77725479,-86.14635359
319,Miami Gardens,"Miami Gardens, Florida",06/16/15,Public area,birthday party,-999,party guests,fight,"The shooter opened fire when fight broke out during birthday party around 5:30 p.m. The man pulled out a gun and opened fire, hitting four people.",-999,one,0,4,4,0,-999,-999,-999,-999,"Black, Black American or African American",Male,25.94326707,-80.24253243
320,Boom Boom Room,"Morven, North Carolina",06/20/15,"Bar, Club",Club,Close,random,anger,"Two men were arguing in a club called the Boom Boom Room Saturday morning around 2:45. When they started shooting at each other, four bystanders were caught in the crossfire. One of shooters was arrested later, and the other turned himself in on Tuesday, June 23, 2015.",arrested,one,0,4,4,0,-999,-999,-999,-999,"Black, Black American or African American",Male,34.86379864,-79.9996781
321,Hill Haven Event Center (Formerly Club CJ's),"Greenville, Georgia",09/27/15,"Bar, Club",Club,Close,random,-999,A shooting at a club in Meriwether Co. early Sunday injured 10 people after witnesses say gun fire was exchanged that stemmed from alleged illegal gambling.,got away,-999,0,10,10,0,-999,-999,-999,-999,"Black, Black American or African American",Male,33.02912644,-84.7143335
322,"Minneapolis, Minnesota","Minneapolis, Minnesota",11/23/15,Public area,Black Lives Matter encampment,Open,protestors,racism,"Five protesters were shot late Monday night near the Black Lives Matter encampment. A group of white supremacists showed up at the protest, and when about a dozen protesters attempted to herd the group away from the area, they opened fire on the protesters. Protesters have been camping out in front of the 4th Precinct since Nov. 15",got away,group,0,5,5,0,-999,-999,-999,-999,"White, White American or European American",Male,44.96358722,-93.26783687
323,New Orleans gas station shoot-out,"New Orleans, Louisiana",01/31/16,Public area,gas station,Open,random,anger,"Altercation broke out at a gas station in New Orleans, when the shooter shot and injured 3 people. One of the victims returned fire and injured the instigator.",-999,one,0,3,3,0,-999,-999,-999,-999,"Black, Black American or African American",Male,29.951066,-90.071532
324,Michigan school shooting,"Muskegon Heights, Michigan",02/09/16,Public area,outside gym,Open,random,psycho,"Shooter was a part of a fight outside of a high school gym. He fired at a crowd, injuring three. He fled the scene and was confronted by a police officer. When he wouldn't drop his weapon, the police officer shot and injured him.",-999,one,0,3,3,0,-999,-999,-999,-999,"Black, Black American or African American",Male,43.201126,-86.238946
325,Houston Drive-by,"Houston, Texas",02/21/16,Public area,-999,Open,random,-999,"Group of people was fired upon by an unknown number of people in a dark SUV and a white Ford Truck. Five people, including a baby, were injured.",got away,-999,0,5,5,0,-999,-999,-999,-999,-999,-999,29.760427,-95.369803
326,Detroit Strip Club Shootout,"Detroit, Michigan",02/28/16,"Bar, Club",outside the club,Open,club members,anger,"Man apparently inappropriately touched a stripper. He was asked to leave. He waited outside, then shot the stripper and four other people.",-999,one,0,5,5,0,-999,-999,-999,-999,"Black, Black American or African American",Male,42.331427,-83.045754
327,Wichita Nightclub shooting,"Wichita, Kansas",03/05/16,"Bar, Club",outside the club,Open,random,anger,Altercation led to group of people getting kicked out of a club. Shooting took place around 1am outside the club. Four injured. ,got away,group,0,4,4,0,-999,-999,-999,-999,-999,-999,37.687176,-97.330053
328,"Roswell, GA Hookah shootout","Roswell, Georgia",03/06/16,Public area,-999,Open,random,anger,"Altercation in a hookah bar led a group of seven people to leave in a mini-van. They were followed. When the car stopped, the shooter fired upon the car. Four of the seven sustained non-life-threatening injuries. ",-999,one,0,4,4,0,-999,-999,-999,-999,"Black, Black American or African American",Male,34.023243,-84.361556
329,"Lafayette, LA drive by","Lafayette, Louisiana",03/07/16,Public area,drive-by on MLK boulevard in Lafayette,Open,random,-999,"Four people shot with non-life-threatening injuries during a drive-by on MLK boulevard in Lafayette, LA. There were multiple shooters in the Ford f-150 truck, truck fled the scene. No leads. ",got away,group,0,4,4,0,-999,-999,-999,-999,-999,-999,30.22409,-92.019843
330,"Trenton, NJ sidewalk shooting","Trenton, New Jersey",03/11/16,Public area,"outside of an apartment complex in Trenton, NJ",Open,random,-999,"A group of women were arguing on a sidewalk outside of an apartment complex in Trenton, NJ when a black Acura pulled up. Two men got out. And one shot at the women, injuring five. ",got away,two,0,5,5,0,-999,-999,-999,-999,-999,-999,40.217053,-74.742938
331,Florida Family celebration ends in shooting,"Fort Myers, Florida",03/13/16,Home,-999,-999,Family,fight,"Family was celebrating a birthday party when a group of 12 arrived. Fight broke out, four people shot.",got away,group,0,4,4,0,-999,-999,-999,-999,-999,-999,26.640628,-81.872308
332,Atlanta Nightclub shooting,"Atlanta, Georgia",03/15/16,"Bar, Club",outside nightclub,Open,random,anger,Two groups of people were asked to leave a nightclub when they started arguing. They were outside the club when they started shooting. Five people were injured. ,got away,group,0,4,4,0,-999,-999,-999,-999,-999,-999,33.748995,-84.387982
333,Chicago Birthday Party Bus Shooting,"Chicago, Illinois",04/07/16,Public area,south shore,Open,birthday party bus,-999,Birthday party bus was dropping off party goers in South Shore Chicago when someone on the street started shooting at them. The bus driver drove off quickly protecting the targets. Unknown motivation. No suspects. ,got away,one,0,5,5,0,-999,-999,-999,-999,-999,-999,41.878114,-87.629798
334,"Albuquerque, NM House party shooting","Albuquerque, New Mexico",04/09/16,Public area,at party,Close,uninvited guests,anger,A Man shot four uninvited party guests who would not leave the party hosted by the shooter. He started firing when they broke windows and started kicking in the door.,-999,one,0,4,4,0,-999,-999,-999,-999,"White, White American or European American",Male,35.085334,-106.605553
335,"Memphis, TN gas station shooting","Memphis, Tennessee",04/09/16,Public area,at gas station,Open,random,anger,Four people were shot below the waist at a gas station after an altercation broke out at a gas station.,got away,-999,0,4,4,0,-999,-999,-999,-999,-999,-999,35.149534,-90.04898
336,Alabama highway random shooting,"Blountsville, Alabama",04/19/16,Public area,along a highway ,Open,random,fun,"Shooter fired from his car at two different locations along a highway in rural Alabama. He didn't injure any at the first shootout, but injured four at the second. He was killed by police.",killed,one,0,4,4,0,-999,-999,-999,Yes,"White, White American or European American",Male,34.16204,-86.475543
337,Tire-Slashing revenge escalation,"Baltimore, Maryland",04/21/16,Public area,block party,Open,random,frustration,Shooter was angry over fact that rival families had been slashing each other's cars. Shooter fired into a block party and injured four.,-999,one,0,4,4,0,-999,-999,-999,-999,"Black, Black American or African American",Male,39.290385,-76.612189
338,"Halifax County, VA","Halifax, Virginia",04/24/16,Public area,crown,Open,random,-999,"Male shooter fired into crown when a deputy police tried, unsuccessfully to stop him. The deputy fired on the shooter and inured him.",-999,one,0,6,6,0,-999,-999,-999,-999,"Black, Black American or African American",Male,36.765971,-78.928344
339,"Ferguson, MO Drive by","Ferguson, Missouri",04/29/16,Public area,-999,Open,random,fun,A group of 15 to 20 people was gathered for a memorial for a family member when two cars drove by and opened fire. Four people were injured. No suspects or specific motive or targets.,got away,-999,0,4,4,0,-999,-999,-999,-999,-999,-999,38.744217,-90.305391
